Bug ID,Module / Screen,Device,iOS Version,App Version,Severity,Status,Attachment,Notes
BUG001,Login Screen,iPhone 16,26.2.1,1.0.0(1),Medium,Fixed,https://drive.google.com/file/d/1JL46Cju1hk9Ne8yfQVp9zEYOZA_3c7lr/view?usp=sharing,"When trying to log in with an unregistered email, the toast message shown is not user-friendly and displays the raw Firebase error response instead of a proper message."
BUG002,Login Screen,iPhone 16,26.2.1,1.0.0(1),High,Fixed,https://drive.google.com/file/d/1zS-lZdo1kDEloRdAxBchm915392gPN6s/view?usp=sharing,"When tapping “Forgot Password,” it simply navigates back to the Login screen instead of proceeding with the password recovery flow."
BUG003,Complete Your Porfile Screen,iPhone 16,26.2.1,1.0.0(1),High,Fixed,https://drive.google.com/file/d/1KOzrsg7W3IiSbLimcpMO1eD56t1WA041/view?usp=sharing,"On the “Complete Your Profile” screen, regardless of whether the data entered is correct or incorrect, the app keeps redirecting back to the same “Complete Your Profile” page. It is not possible to proceed past this screen. Even after clearing app data and logging in again, the app still redirects to the “Complete Your Profile” page. Uninstalling and reinstalling the app does not resolve the issue either, making it impossible to continue testing."
BUG004,Create Account,iPhone 16,26.2.1,1.0.0(1),High,Open,https://drive.google.com/file/d/13H0vdAcDLj98Z4-hIYcSkG9wj-Fn4miO/view?usp=sharing,Registration succeeds even when using an email address that does not actually exist. This behavior does not align with the authentication rules.
BUG005,Create Account,iPhone 16,26.2.1,1.0.0(2),Low,Open,https://drive.google.com/file/d/1jxT4isiI4k2VUIrD90lJJiZnxFEkXDIC/view?usp=sharing https://drive.google.com/file/d/1ZTJw5uDKbtQmcDXNVwq9YZ_iIb9U_tc3/view?usp=sharing,The error messages for “Invalid Email” and “Passwords do not match” are displayed inconsistently. This results in a poor user experience from a UX perspective.
BUG006,Create Account,iPhone 16,26.2.1,1.0.0(2),Medium,Open,https://drive.google.com/file/d/1BZWLkQV5ub8rLbLSoeddKzVkTD5BPL7E/view?usp=sharing,"When tapping Google Sign-In and then canceling the alert, an error message is shown."
BUG007,Complete Your Porfile Screen,iPhone 16,26.2.1,1.0.0(2),Low,Open,https://drive.google.com/file/d/1PZGMo7AeapLTNn0gDZxV2pu9Xtv9B9dM/view?usp=sharing,"The age field allows a value of 100, which should likely be restricted or validated."
BUG008,Complete Your Porfile Screen,iPhone 16,26.2.1,1.0.0(2),Medium,Open,https://drive.google.com/file/d/1ByaFpJj1h4nHkjoU90VoNtmKdckf2ZAZ/view?usp=sharing,"On the “Complete Your Profile” screen, after tapping Continue and then navigating back, the previously selected Country and City are no longer retained."
BUG009,All Screen,iPhone 16,26.2.1,1.0.0(2),Medium,Open,https://drive.google.com/file/d/1f4TtSSo8TxXV7GS76KaLJVDn_zBVltJX/view?usp=sharing,"Confirmation alerts do not display correctly when the device is in Dark Mode, causing UI issues."
BUG010,Profile Screen,iPhone 16,26.2.1,1.0.0(2),Medium,Open,https://drive.google.com/file/d/1tAEfWMAPXfrDlKMk4wy_5o1npbHLaQMH/view?usp=sharing,Logging out from the Profile screen does not prompt for confirmation.
BUG011,Profile Screen,iPhone 16,26.2.1,1.0.0(2),Medium,Open,https://drive.google.com/file/d/14sepFaRDV6WtXqvBVSxbzDP5OJ-p39-Y/view?usp=sharing,he Edit button next to the profile picture is not functional.
BUG012,Edit Profile Screen,iPhone 16,26.2.1,1.0.0(2),Medium,Open,https://drive.google.com/file/d/158Jco8e6rjZbPanVWHd7cYWwGl99ukmX/view?usp=sharing,"While editing the Bio in the Edit Profile screen, the keyboard cannot be dismissed."
BUG013,Edit Profile Screen,iPhone 16,26.2.1,1.0.0(2),Medium,Open,https://drive.google.com/file/d/1nARPqsnbk9XigPqQt33bsqoK6K4ZIN6P/view?usp=sharing,"Even when only one photo exists, tapping the cross (remove) button triggers a remove confirmation. After confirming removal, the photo is removed, but when navigating back, the photo reappears."
BUG014,Edit Profile Screen,iPhone 16,26.2.1,1.0.0(2),Medium,Open,https://drive.google.com/file/d/1P1I1qKK-5waDPzNSQPz3WLT18W455Udq/view?usp=sharing,"On the Edit Profile screen, tapping to re-upload a photo does not allow selecting the camera, and selecting a photo from the gallery also does not work. (This may be related to previously denying permissions.)"
BUG015,Edit Profile Screen,iPhone 16,26.2.1,1.0.0(2),High,Open,https://drive.google.com/file/d/17fUUl2Y1iuPqP8Z5rnsYbeJtGu7ryvbv/view?usp=sharing,"In the Edit Profile screen, it is possible to remove all selected interests and save successfully. However, after exiting the screen, the previous interests still appear. When returning to Edit Profile, no interests are selected."
BUG016,Edit Profile Screen,iPhone 16,26.2.1,1.0.0(2),High,Open,https://drive.google.com/file/d/155QC-mfWI805W4jQ3Jy7vwNMcMRoGsmF/view?usp=sharing,Neither Photo Verification nor ID Verification is functioning.
BUG017,Edit Profile Screen,iPhone 16,26.2.1,1.0.0(2),High,Open,https://drive.google.com/file/d/1eH2HaAphtH9SfpuIeOc1I_LvbDvn_gaX/view?usp=sharing,"Phone Verification allows invalid phone numbers and incorrect OTPs to proceed, but the verification does not actually succeed. Additionally, the error messages shown are not user-friendly or understandable."
